Nom de zone;tri;geometry;couleur;photo;noms
ROUEN 6;1;POLYGON((0.9345154545454546 0.703797027027027,0.9271663636363636 0.5463358102766798,0.9299009090909091 0.5786353246753246,0.9353672727272727 0.6978755614973262,0.9507227272727272 0.51916,0.5511168595041321 0.47163132678132674,0.9345154545454546 0.703797027027027));Orange;;
SAINT-JACQUES;2;POLYGON((0.9507227272727272 0.51916,0.9507227272727272 0.51916,0.93817 0.6846679115479115,0.9383481818181818 0.6100084848484848,0.9383481818181818 0.6100084848484848,0.9507227272727272 0.51916,0.9507227272727272 0.51916));Black;;
EUPHATA;3;POLYGON((0.933861818181818 0.5703573426573426,0.9323636363636364 0.6324842424242424,0.9440054545454544 0.4057535353535353,0.9440054545454544 0.4057535353535353,0.9440054545454544 0.4057535353535353,0.933861818181818 0.5703573426573426));Green;;
BETHANIE;4;POLYGON((0.9358081818181818 0.6139741991341992,0.9440054545454544 0.4057535353535353,0.9440054545454544 0.4057535353535353,0.9286345454545454 0.6720442857142856,0.9440054545454544 0.4057535353535353,0.9358081818181818 0.6139741991341992));Red;;
EVREUX;5;POLYGON((0.9379190909090909 0.6422042424242423,0.95018 0.5149463636363636,0.95018 0.5149463636363636,0.9392781818181818 0.6838815426997246,0.9371409090909091 0.7008924815724814,0.95322 0.5379159307359307,0.9420218181818182 0.5955214685314685,0.9379190909090909 0.6422042424242423));Pink;;
LE HAVRE 2;6;POLYGON((0.9380890909090908 0.47931134680134674,0.7163266666666666 0.5593878787878787,0.9587509090909091 0.5602160606060606,0.9587509090909091 0.5602160606060606,0.9587509090909091 0.5602160606060606,0.7163266666666666 0.5809949011857707,0.9380890909090908 0.47931134680134674));#FA6B05;;
LE HAVRE 1;7;POLYGON((0.9443454545454545 0.6029056598240469,0.9587509090909091 0.5602160606060606,0.9587509090909091 0.5602160606060606,0.9587509090909091 0.5602160606060606,0.9443454545454545 0.6029056598240469));#FA6B05;;
RABBOUNI;8;POLYGON((0.9463145454545453 0.6795263636363635,0.9476645454545455 0.6464940125391849,0.9571681818181818 0.5462907177033492,0.9439654545454544 0.5539750505050505,0.6541378787878787 0.5428352631578948,0.9495899999999998 0.644194385026738,0.9571681818181818 0.5462907177033492,0.9463145454545453 0.6795263636363635));#5CFFB8;;
GEDEON;9;POLYGON((0.9358545454545453 0.5450660606060606,0.9414663636363635 0.5647341558441558,0.7515224505928854 0.5534286776859503,0.9571681818181818 0.5462907177033492,0.9358545454545453 0.5450660606060606));#D17300;;
AU LARGE;10;POLYGON((0.9402036363636364 0.5954763636363636,0.9476645454545455 0.6464940125391849,0.9417727272727271 0.45853999999999995,0.9571681818181818 0.5462907177033492,0.9571681818181818 0.5462907177033492,0.9402036363636364 0.5954763636363636));#5CA5FF;;
LE CENACLE;11;POLYGON((0.9383754545454545 0.6825894721407624,0.9476645454545455 0.6464940125391849,0.9571681818181818 0.5462907177033492,0.9571681818181818 0.5462907177033492,0.6541378787878787 0.5428352631578948,0.6541378787878787 0.5428352631578948,0.9383754545454545 0.6825894721407624));Black;;
ROUEN 7;12;POLYGON((0.9386990909090909 0.7394029752066115,0.5814890909090908 0.4979381818181818,0.945761818181818 0.5838482644628099,0.9571681818181818 0.5462907177033492,0.9571681818181818 0.5462907177033492,0.9386990909090909 0.7394029752066115));Darkblue;;
ROUEN 1;13;POLYGON((0.9476645454545455 0.6464940125391849,0.9451254545454545 0.548555041322314,0.9571681818181818 0.5462907177033492,0.9491509090909089 0.682560909090909,0.9476645454545455 0.6464940125391849));Brown;;
